Fecha,value,rolling_mean,rolling_variance
2026-03-23 14:26:40,0.619,0.619,
2026-03-24 13:35:51,0.765,0.692,0.010658000000000011
2026-03-25 12:24:45,0.625,0.6696666666666666,0.006825333333333337
2026-03-26 12:54:27,0.565,0.6516666666666667,0.010533333333333339
2026-03-27 13:23:13,0.61,0.6,0.0009749999999999981
2026-03-30 13:14:36,0.788,0.6543333333333333,0.013906333333333342
2026-03-31 14:54:02,0.826,0.7413333333333334,0.013297333333333322
2026-04-01 14:56:32,0.806,0.8066666666666666,0.0003613333333333024
2026-04-02 14:19:04,0.856,0.8293333333333334,0.0006333333333332994
2026-04-06 15:30:24,0.706,0.7893333333333333,0.005833333333333306
2026-04-07 15:24:25,0.677,0.7463333333333333,0.009230333333333295
2026-04-08 14:44:57,0.633,0.672,0.0013509999999999614
2026-04-09 16:42:52,0.566,0.6253333333333333,0.003124333333333301
2026-04-10 15:35:36,0.612,0.6036666666666667,0.0011743333333332955
