row,column,value,issue
1,EC_Norm,-0.04347826086956522,negative_value_in_non_negative_variable
2,EC_Norm,-0.08695652173913043,negative_value_in_non_negative_variable
5,EC_Norm,-0.3043478260869565,negative_value_in_non_negative_variable
6,EC_Norm,-0.3478260869565217,negative_value_in_non_negative_variable
7,EC_Norm,-0.4347826086956522,negative_value_in_non_negative_variable
8,EC_Norm,-0.6956521739130435,negative_value_in_non_negative_variable
9,EC_Norm,-0.4782608695652174,negative_value_in_non_negative_variable
10,EC_Norm,-0.4347826086956522,negative_value_in_non_negative_variable
11,EC_Norm,-0.1304347826086956,negative_value_in_non_negative_variable
12,EC_Norm,-0.2173913043478261,negative_value_in_non_negative_variable
13,EC_Norm,-0.1304347826086956,negative_value_in_non_negative_variable
14,EC_Norm,-0.1304347826086956,negative_value_in_non_negative_variable
15,EC_Norm,-0.1304347826086956,negative_value_in_non_negative_variable
16,EC_Norm,-0.2173913043478261,negative_value_in_non_negative_variable
21,EC_Norm,-0.04347826086956522,negative_value_in_non_negative_variable
22,EC_Norm,-0.08695652173913043,negative_value_in_non_negative_variable
23,EC_Norm,-0.1739130434782609,negative_value_in_non_negative_variable
24,EC_Norm,-0.2173913043478261,negative_value_in_non_negative_variable
25,EC_Norm,-0.2173913043478261,negative_value_in_non_negative_variable
26,EC_Norm,-0.1739130434782609,negative_value_in_non_negative_variable
27,EC_Norm,-0.1304347826086956,negative_value_in_non_negative_variable
30,EC_Norm,-1.608695652173913,negative_value_in_non_negative_variable
31,EC_Norm,-1.608695652173913,negative_value_in_non_negative_variable
32,EC_Norm,-1.608695652173913,negative_value_in_non_negative_variable
33,EC_Norm,-1.608695652173913,negative_value_in_non_negative_variable
34,EC_Norm,-1.565217391304348,negative_value_in_non_negative_variable
35,EC_Norm,-1.608695652173913,negative_value_in_non_negative_variable
36,EC_Norm,-1.608695652173913,negative_value_in_non_negative_variable
37,EC_Norm,-1.565217391304348,negative_value_in_non_negative_variable
38,EC_Norm,-1.521739130434783,negative_value_in_non_negative_variable
39,EC_Norm,-1.565217391304348,negative_value_in_non_negative_variable
40,EC_Norm,-1.521739130434783,negative_value_in_non_negative_variable
41,EC_Norm,-1.173913043478261,negative_value_in_non_negative_variable
42,EC_Norm,-1.08695652173913,negative_value_in_non_negative_variable
43,EC_Norm,-1.0,negative_value_in_non_negative_variable
44,EC_Norm,-0.9565217391304348,negative_value_in_non_negative_variable
45,EC_Norm,-1.0,negative_value_in_non_negative_variable
46,EC_Norm,-0.8260869565217391,negative_value_in_non_negative_variable
47,EC_Norm,-0.782608695652174,negative_value_in_non_negative_variable
48,EC_Norm,-0.6521739130434783,negative_value_in_non_negative_variable
49,EC_Norm,-0.5217391304347826,negative_value_in_non_negative_variable
50,EC_Norm,-0.08695652173913043,negative_value_in_non_negative_variable
51,EC_Norm,-0.6521739130434783,negative_value_in_non_negative_variable
52,EC_Norm,-0.5652173913043478,negative_value_in_non_negative_variable
53,EC_Norm,-0.4347826086956522,negative_value_in_non_negative_variable
55,EC_Norm,-0.2173913043478261,negative_value_in_non_negative_variable
56,EC_Norm,-0.6086956521739131,negative_value_in_non_negative_variable
57,EC_Norm,-0.5652173913043478,negative_value_in_non_negative_variable
58,EC_Norm,-0.6956521739130435,negative_value_in_non_negative_variable
59,EC_Norm,-0.8695652173913043,negative_value_in_non_negative_variable
66,EC_Norm,-0.08695652173913043,negative_value_in_non_negative_variable
67,EC_Norm,-0.3043478260869565,negative_value_in_non_negative_variable
68,EC_Norm,-0.3478260869565217,negative_value_in_non_negative_variable
69,EC_Norm,-0.3478260869565217,negative_value_in_non_negative_variable
75,EC_Norm,-0.1304347826086956,negative_value_in_non_negative_variable
76,EC_Norm,-0.2608695652173913,negative_value_in_non_negative_variable
77,EC_Norm,-0.391304347826087,negative_value_in_non_negative_variable
78,EC_Norm,-0.5217391304347826,negative_value_in_non_negative_variable
79,EC_Norm,-0.5217391304347826,negative_value_in_non_negative_variable
80,EC_Norm,-0.4782608695652174,negative_value_in_non_negative_variable
81,EC_Norm,-0.8260869565217391,negative_value_in_non_negative_variable
82,EC_Norm,-0.6956521739130435,negative_value_in_non_negative_variable
83,EC_Norm,-0.7391304347826086,negative_value_in_non_negative_variable
84,EC_Norm,-0.7391304347826086,negative_value_in_non_negative_variable
85,EC_Norm,-0.6956521739130435,negative_value_in_non_negative_variable
110,EC_Norm,-0.08695652173913043,negative_value_in_non_negative_variable
111,EC_Norm,-0.1739130434782609,negative_value_in_non_negative_variable
112,EC_Norm,-0.1739130434782609,negative_value_in_non_negative_variable
113,EC_Norm,-0.04347826086956522,negative_value_in_non_negative_variable
123,EC_Norm,-0.2608695652173913,negative_value_in_non_negative_variable
