BIM,column,q1,q3,iqr,lower_bound,upper_bound,outlier_count
BIM-02,pH,7.41,7.7,0.29000000000000004,6.975,8.135,0
BIM-02,pH_Norm,-1.1529050577848754,-0.6520410139396317,0.5008640438452437,-1.904201123552741,0.09925505182823391,0
BIM-02,Temperatura (°C),17.1,18.8,1.6999999999999993,14.550000000000002,21.35,0
BIM-02,Temp_Norm,-0.8984685125977238,-0.5459305656309583,0.35253794696676544,-1.427275433047872,-0.01712364518081011,0
BIM-02,EC,2320.0,2380.0,60.0,2230.0,2470.0,0
BIM-02,EC_Norm,-0.34782608695652173,-0.08695652173913043,0.2608695652173913,-0.7391304347826086,0.3043478260869565,0
BIM-02,OD,0.637,0.728,0.09099999999999997,0.5005000000000001,0.8644999999999999,2
BIM-02,OD_Norm,0.08553269989756018,0.6178716950399727,0.5323389951424126,-0.7129757928160586,1.4163801877535915,2
BIM-02,μ (d⁻¹),-0.047225,0.09507499999999999,0.14229999999999998,-0.260675,0.30852499999999994,1
BIM-02,ciclo_1,1.0,1.0,0.0,1.0,1.0,0
BIM-04,pH,7.79,8.19,0.39999999999999947,7.190000000000001,8.79,0
BIM-04,pH_Norm,-0.4966004486083494,0.19424650841957197,0.6908469570279214,-1.5328708841502316,1.230516943961454,0
BIM-04,Temperatura (°C),18.1,19.2,1.0999999999999979,16.450000000000003,20.849999999999994,0
BIM-04,Temp_Norm,-0.4365222372619624,0.04973699993357529,0.48625923719553765,-1.1659110930552687,0.7791258557268818,0
BIM-04,EC,2360.0,2450.0,90.0,2225.0,2585.0,2
BIM-04,EC_Norm,-0.17391304347826086,0.21739130434782608,0.3913043478260869,-0.7608695652173912,0.8043478260869564,2
BIM-04,OD,0.529,0.687,0.15800000000000003,0.292,0.9240000000000002,0
BIM-04,OD_Norm,-0.5462542393923361,0.3780266532725125,0.9242808926648486,-1.9326755783896088,1.7644479922697853,0
BIM-04,μ (d⁻¹),-0.056075,0.08585000000000001,0.14192500000000002,-0.26896250000000005,0.29873750000000004,0
BIM-04,ciclo_1,1.0,1.0,0.0,1.0,1.0,0
BIM-05,pH,7.62,8.84,1.2199999999999998,5.790000000000001,10.67,0
BIM-05,pH_Norm,-0.7902104053452161,1.3168728135899463,2.1070832189351627,-3.95083523374796,4.477497641992691,0
BIM-05,Temperatura (°C),15.3,18.9,3.599999999999998,9.900000000000004,24.299999999999997,0
BIM-05,Temp_Norm,-0.6431824130700661,0.8399082603763255,1.4830906734463916,-2.8678184232396533,3.0645442705459125,0
BIM-05,EC,2040.0,2265.0,225.0,1702.5,2602.5,0
BIM-05,EC_Norm,-1.565217391304348,-0.5869565217391304,0.9782608695652175,-3.032608695652174,0.8804347826086958,0
BIM-05,OD,0.7,0.912,0.21200000000000008,0.38199999999999984,1.2300000000000002,0
BIM-05,OD_Norm,0.23470461611878585,1.6562252295210529,1.421520613402267,-1.897576303984615,3.7885061496244536,2
BIM-05,μ (d⁻¹),-0.040325,0.019025,0.05935,-0.12935,0.10805,6
BIM-05,ciclo_1,1.0,1.0,0.0,1.0,1.0,0
BIM-07,pH,8.52,8.63,0.11000000000000121,8.354999999999997,8.795000000000002,2
BIM-07,pH_Norm,0.764195247967608,0.9541781611502886,0.18998291318268068,0.47922087819358694,1.2391525309243097,2
BIM-07,Temperatura (°C),16.924999999999997,17.875,0.9500000000000028,15.499999999999993,19.300000000000004,2
BIM-07,Temp_Norm,0.4509008706198945,0.584622160848669,0.13372129022877455,0.25031893527673266,0.7852040961918308,2
BIM-07,EC,2392.5,2582.5,190.0,2107.5,2867.5,1
BIM-07,EC_Norm,-0.03260869565217391,0.7934782608695652,0.8260869565217391,-1.2717391304347825,2.032608695652174,1
BIM-07,OD,0.549,0.67925,0.13024999999999998,0.3536250000000001,0.874625,0
BIM-07,OD_Norm,-0.42925665804235535,0.33269009049939485,0.7619467485417502,-1.5721767808549805,1.47561021331202,0
BIM-07,μ (d⁻¹),-0.0058,0.0529,0.0587,-0.09385,0.14095000000000002,0
BIM-07,ciclo_1,1.0,1.0,0.0,1.0,1.0,0
BIM-09,pH,8.162500000000001,8.285,0.12249999999999872,7.978750000000003,8.468749999999998,0
BIM-09,pH_Norm,0.14675078012390408,0.3583226607137031,0.21157188058979903,-0.17060704076079447,0.6756804815984017,0
BIM-09,Temperatura (°C),17.424999999999997,17.675,0.25000000000000355,17.04999999999999,18.050000000000004,1
BIM-09,Temp_Norm,0.016306677376383284,0.16522356876751537,0.1489168913911321,-0.20706865971031488,0.3885989058542135,0
BIM-09,EC,2282.5,2332.5,50.0,2207.5,2407.5,0
BIM-09,EC_Norm,-0.5108695652173914,-0.2934782608695652,0.21739130434782616,-0.8369565217391306,0.03260869565217406,0
BIM-09,OD,0.6192500000000001,0.8325,0.21324999999999994,0.29937500000000017,1.152375,0
BIM-09,OD_Norm,-0.018302653550547554,1.2291840575936226,1.24748671114417,-1.8895327202668026,3.1004141243098777,0
BIM-09,μ (d⁻¹),-0.0201,0.109475,0.129575,-0.2144625,0.3038375,1
BIM-09,ciclo_1,1.0,1.0,0.0,1.0,1.0,0
BIM-12,pH,7.21,7.985,0.7750000000000004,6.047499999999999,9.1475,0
BIM-12,pH_Norm,-1.4983285362988368,-0.1598125570572368,1.3385159792416,-3.5061025051612367,1.847961411805163,0
BIM-12,Temperatura (°C),15.7,17.0,1.3000000000000007,13.749999999999998,18.950000000000003,0
BIM-12,Temp_Norm,-1.141598131195493,-0.1994708591291371,0.9421272720663559,-2.554789039295027,1.213720048970397,0
BIM-12,EC,2240.0,2420.0,180.0,1970.0,2690.0,0
BIM-12,EC_Norm,-0.6956521739130435,0.08695652173913043,0.7826086956521738,-1.8695652173913042,1.2608695652173911,0
BIM-12,OD,0.6285000000000001,0.6635,0.03499999999999992,0.5760000000000002,0.7159999999999999,1
BIM-12,OD_Norm,0.03580872782381829,0.2405544951862849,0.20474576736246664,-0.2713099232198817,0.5476731462299849,1
BIM-12,μ (d⁻¹),-0.0362,0.0267,0.06290000000000001,-0.13055000000000003,0.12105000000000002,3
BIM-12,ciclo_1,1.0,1.0,0.0,1.0,1.0,0
BIM-13,pH,8.085,8.555,0.46999999999999886,7.380000000000003,9.259999999999998,2
BIM-13,pH_Norm,0.012899182199743162,0.824644356707553,0.8117451745078098,-1.2047185795619717,2.0422621184692678,2
BIM-13,Temperatura (°C),15.35,17.1,1.7500000000000018,12.724999999999998,19.725000000000005,2
BIM-13,Temp_Norm,-0.07790604983025295,0.49344855387450537,0.5713546037047583,-0.9349379553873904,1.3504804594316429,2
BIM-13,EC,2485.0,2635.0,150.0,2260.0,2860.0,0
BIM-13,EC_Norm,0.3695652173913043,1.0217391304347825,0.6521739130434782,-0.608695652173913,1.9999999999999998,1
BIM-13,OD,0.512,0.6625000000000001,0.15050000000000008,0.2862499999999999,0.8882500000000002,0
BIM-13,OD_Norm,-0.6457021835398199,0.23470461611878585,0.8804067996586058,-1.9663123830277285,1.5553148156066945,0
BIM-13,μ (d⁻¹),-0.01345,0.08565,0.09910000000000001,-0.1621,0.2343,1
BIM-13,ciclo_1,1.0,1.0,0.0,1.0,1.0,0
BIM-14,pH,8.3,8.52,0.21999999999999886,7.970000000000002,8.849999999999998,1
BIM-14,pH_Norm,0.3194625193808841,0.7598774544861835,0.4404149351052994,-0.3411598832770649,1.4204998571441325,1
BIM-14,Temperatura (°C),16.1,17.2,1.0999999999999979,14.450000000000005,18.849999999999994,0
BIM-14,Temp_Norm,0.13787148667526747,0.44786175038742243,0.309990263712155,-0.327113908892965,0.9128471459556549,1
BIM-14,EC,2275.0,2480.0,205.0,1967.5,2787.5,0
