Fecha,value,rolling_mean,rolling_variance
2026-03-25 12:27:18,0.549,0.549,
2026-03-26 12:58:45,0.597,0.573,0.0011519999999999994
2026-03-27 13:26:11,0.84,0.662,0.024339000000000006
2026-03-30 13:17:54,0.814,0.7503333333333333,0.017802333333333357
2026-03-31 14:56:23,0.86,0.838,0.0005320000000000275
2026-04-01 14:59:45,0.888,0.854,0.0013960000000000292
2026-04-02 14:23:34,0.862,0.87,0.00024400000000002718
2026-04-06 15:35:46,0.859,0.8696666666666667,0.00025433333333336084
2026-04-07 15:28:50,0.826,0.8490000000000001,0.0003990000000000294
2026-04-08 14:48:55,0.849,0.8446666666666666,0.00028633333333336265
2026-04-09 16:48:00,0.86,0.8450000000000001,0.0003010000000000297
2026-04-10 15:39:48,0.898,0.8689999999999999,0.000661000000000029
2026-04-13 15:57:32,0.863,0.8736666666666667,0.00044633333333336225
2026-04-20 21:20:45,0.302,0.6876666666666668,0.11186033333333338
2026-04-27 16:20:17,0.249,0.4713333333333333,0.1157543333333334
2026-04-28 15:35:12,0.261,0.27066666666666667,0.0007723333333334326
