BIM,variable,count,mean,median,mode,std,variance,min,p05,p25,p50,p75,p95,max,skewness,kurtosis,coefficient_variation
ALL,pH,220,8.099204545454546,8.25,8.27,0.6724737464803157,0.45222093970527183,5.73,7.0,7.6975,8.25,8.56,9.0305,9.35,-0.7486639943422774,0.6484931655640414,0.08302960404398269
ALL,pH_Norm,186,0.12358326456228136,0.3324158998251566,-1.601955579853025,1.424572618047225,2.029407144089925,-13.95084493672713,-1.5976377863716005,-0.5570495573482929,0.3324158998251566,0.8332799436704018,1.6752496725481816,2.197702683800547,-5.2716272862847395,50.67698961777124,11.527229217426065
ALL,Temperatura (°C),220,17.390909090909094,17.3,17.1,1.878625041484415,3.52923204649232,12.6,14.585,16.175,17.3,18.725,20.6,21.6,-0.019983902257636865,-0.10572898174140288,0.10802339496251208
ALL,Temp_Norm,186,-1.910061117634678e-17,0.1469888473726831,-1.214537016774823,1.0026990602396142,1.0054054054054054,-9.90642088164507,-1.211497896542351,-0.47906992051657216,0.1469888473726831,0.4995267943394495,1.0921552396715115,1.459888787800637,-5.271627286284744,50.6769896177713,
ALL,EC,220,2226.4772727272725,2335.0,2360.0,421.9957739966916,178080.4332710668,925.0,1121.85,2150.0,2335.0,2430.0,2660.5,3700.0,-1.4521045929388028,2.734791171227823,0.1895351815021123
ALL,EC_Norm,186,-0.12489481065918655,-0.1739130434782609,-0.1739130434782609,0.8657039427069955,0.7494433164184369,-1.608695652173913,-1.521739130434783,-0.5652173913043478,-0.1739130434782609,0.2141304347826087,1.2065217391304346,5.652173913043478,1.7250982810480089,9.978249270331817,-6.931464471084646
ALL,OD,220,0.6740159090909091,0.6585000000000001,0.622,0.14839223899874343,0.022020256595060187,0.249,0.44695,0.577,0.6585000000000001,0.79125,0.8993999999999999,1.095,0.01604808658395515,-0.05242331677108725,0.2201613300179963
ALL,OD_Norm,186,0.2581984852769673,0.19668040218004207,-0.002215486114925505,0.9206907894829087,0.8476715298386617,-3.640840266099329,-1.0303317322278822,-0.26253510461863305,0.19668040218004207,0.8343172205374374,1.6094261969810604,2.764777312812121,-0.6695167953729363,2.6955636364984255,3.5658256805623454
ALL,Delta_pH_1d,220,-0.0324545454545454,-0.01999999999999957,0.0,0.31880824417600456,0.10163869655458693,-1.959999999999999,-0.43999999999999956,-0.1600000000000001,-0.01999999999999957,0.0799999999999994,0.3500000000000014,1.38,-0.31452661396396897,10.46541397833285,-9.823223209904919
BIM-02,pH,17,7.5205882352941185,7.6,7.7,0.21721160731632438,0.04718088235294111,7.15,7.158,7.41,7.6,7.7,7.724,7.74,-0.7485377686042413,-1.007318312049898,0.028882262998650873
BIM-02,pH_Norm,17,-0.9619061931948025,-0.8247527531966131,-0.6520410139396317,0.3751499448640668,0.14073748113151235,-1.601955579853025,-1.5881386407124667,-1.152905057784875,-0.8247527531966131,-0.6520410139396317,-0.6105901965179569,-0.5829563182368394,-0.7485377686042332,-1.0073183120499074,-0.39000678810276923
BIM-02,Temperatura (°C),17,17.852941176470587,17.9,17.9,1.4992154811178842,2.247647058823529,15.3,15.38,17.1,17.9,18.8,20.02,20.9,-0.031135537527646088,0.009037271098855104,0.08397582596047458
BIM-02,Temp_Norm,17,-0.7640321352554278,-0.6674953749298436,-0.5459305656309583,0.26405287620913176,0.06972392143431506,-1.214537016774823,-1.2048118320309127,-0.8984685125977238,-0.6674953749298436,-0.5459305656309583,-0.5167550113992264,-0.4973046419114044,-0.7485377686042295,-1.0073183120499123,-0.3456044111558931
BIM-02,EC,17,2349.4117647058824,2370.0,2370.0,47.09970650589212,2218.3823529411766,2240.0,2280.0,2320.0,2370.0,2380.0,2412.0,2420.0,-0.7188468214339176,0.267235335764763,0.020047446434656134
BIM-02,EC_Norm,17,-0.21994884910485932,-0.1304347826086956,-0.1304347826086956,0.20478133263431356,0.04193539419548538,-0.6956521739130435,-0.5217391304347826,-0.3478260869565217,-0.1304347826086956,-0.08695652173913043,0.05217391304347824,0.08695652173913043,-0.7188468214339121,0.26723533576475633,-0.9310407100001931
BIM-02,OD,17,0.6651176470588235,0.675,0.456,0.10602822876063546,0.011241985294117645,0.456,0.4664,0.637,0.675,0.728,0.8211999999999999,0.85,-0.43963172450851895,0.23290474326682498,0.1594127433387108
BIM-02,OD_Norm,17,0.2500175348542979,0.3078281044625239,-0.9732954113197662,0.6202523159908412,0.38471293549200225,-0.9732954113197662,-0.9124566690177763,0.08553269989756018,0.3078281044625239,0.6178716950399727,1.163080424130883,1.331556941274856,-0.4396317245085201,0.23290474326682453,2.4808352596241066
BIM-02,Delta_pH_1d,17,-0.0011764705882353216,0.009999999999999787,-0.07000000000000028,0.16973812009022796,0.028811029411764645,-0.4499999999999993,-0.2819999999999993,-0.0600000000000005,0.009999999999999787,0.04000000000000004,0.2379999999999997,0.3099999999999996,-0.8332710907142068,2.5713560562571627,-144.2774020766904
BIM-04,pH,13,8.035384615384617,8.12,7.5,0.3064206092017795,0.09389358974358968,7.5,7.62,7.79,8.12,8.19,8.504,8.54,-0.026508034792935998,-0.583464834113701,0.03813390694642095
BIM-04,pH_Norm,13,-0.07279241150852792,0.07334829093968508,-0.9974644924535931,0.5292243635942289,0.28007842702171654,-0.9974644924535931,-0.7902104053452162,-0.4966004486083494,0.07334829093968508,0.194246508419572,0.7365613696864916,0.7987375958190034,-0.026508034792920906,-0.5834648341137023,-7.270323274455994
BIM-04,Temperatura (°C),13,18.46153846153846,18.3,17.3,0.9051136775183373,0.8192307692307687,17.2,17.26,18.1,18.3,19.2,19.72,19.9,0.10626301795875846,-1.118599700636596,0.0490269908655766
BIM-04,Temp_Norm,13,-0.13822089752085334,-0.03535836657564426,-0.7890601842287278,0.3724996292286237,0.1387559737754621,-0.7890601842287278,-0.6431824130700661,-0.4365222372619624,-0.03535836657564426,0.04973699993357529,0.4314505011320733,0.4752138324796709,-0.026508034792921114,-0.5834648341137005,-2.694958836976332
BIM-04,EC,13,2442.3076923076924,2390.0,2350.0,121.93945534252138,14869.230769230768,2350.0,2350.0,2360.0,2390.0,2450.0,2698.0,2710.0,1.6851096473009086,1.8046593570497902,0.04992796596701663
BIM-04,EC_Norm,13,0.18394648829431437,-0.04347826086956522,-0.2173913043478261,0.5301715449674843,0.2810818670932092,-0.2173913043478261,-0.2173913043478261,-0.1739130434782609,-0.04347826086956522,0.2173913043478261,1.295652173913043,1.347826086956522,1.6851096473009102,1.8046593570497973,2.88220530809596
BIM-04,OD,13,0.6036153846153846,0.579,0.435,0.105550571182363,0.011140923076923078,0.435,0.4566,0.529,0.579,0.687,0.7496,0.752,0.08508290825940568,-1.1817692518726823,0.1748639512387816
BIM-04,OD_Norm,13,-0.10976326281740786,-0.2537602860173845,-1.096142871737246,0.6174580769222727,0.3812544767565513,-1.096142871737246,-0.9697854838792668,-0.5462542393923361,-0.2537602860173845,0.3780266532725125,0.7442290828979521,0.7582687926599498,0.08508290825940419,-1.1817692518726828,-5.625361902273437
BIM-04,Delta_pH_1d,13,-0.03615384615384613,-0.0600000000000005,-0.08999999999999986,0.2628224515250569,0.06907564102564089,-0.419999999999999,-0.37799999999999934,-0.1899999999999995,-0.0600000000000005,0.02000000000000135,0.4659999999999996,0.4900000000000002,0.8993086612407134,0.8494252362663439,-7.269557169842005
BIM-05,pH,31,8.16258064516129,8.28,7.15,0.7012035735882292,0.49168645161290314,6.95,7.105,7.62,8.28,8.84,9.035,9.08,-0.17377776654921495,-1.4032390327461715,0.08590464267007233
BIM-05,pH_Norm,31,0.14689006378459407,0.3496870737508542,-1.601955579853025,1.2110608876763322,1.466668473659386,-1.947379058366986,-1.6796758625186665,-0.7902104053452161,0.3496870737508542,1.3168728135899466,1.6536607051410575,1.7313809878067,-0.1737777665492164,-1.4032390327461726,8.244675347491741
BIM-05,Temperatura (°C),31,17.06774193548387,17.4,18.9,2.1906448208650335,4.798924731182795,13.4,13.4,15.3,17.4,18.9,19.9,20.9,-0.2154951378867995,-1.115116911121199,0.12835000840449073
