iter	RMSE
0	0.1900929136
1	0.1477150373
2	0.116876265
3	0.09442926861
4	0.07929229536
5	0.06919933446
6	0.06228898572
7	0.05760461503
8	0.05439462845
9	0.05226296562
10	0.05082905097
11	0.04974223423
12	0.04894498257
13	0.04835059642
14	0.04788890054
15	0.04748260817
16	0.04723446844
17	0.04683218722
18	0.04659038654
19	0.04635126438
20	0.04612868672
21	0.04591262917
22	0.04575951508
23	0.04558104947
24	0.04549528974
25	0.04537667248
26	0.04529495906
27	0.04520275856
28	0.04509330272
29	0.04501878646
30	0.04490165265
31	0.04484515649
32	0.04468767953
33	0.04462471443
34	0.04456597388
35	0.04451088812
36	0.04443056921
37	0.04438180846
38	0.04432600058
39	0.04429489293
40	0.04422056459
41	0.04417423804
42	0.04409595935
43	0.04401453921
44	0.04398438712
45	0.04392726485
46	0.04384259536
47	0.04380617951
48	0.04377625771
49	0.0437300997
50	0.04369808767
51	0.04364409725
52	0.04359134622
53	0.04355963147
54	0.04351667394
55	0.04346518926
56	0.04344115827
57	0.0433930932
58	0.0433723373
59	0.04333791976
60	0.04331217876
61	0.04329436335
62	0.04326753184
63	0.04324279234
64	0.04321625134
65	0.04320343323
66	0.04318310035
67	0.04315487035
68	0.04312915046
69	0.04310302751
70	0.04305810556
71	0.04303862359
72	0.0430100606
73	0.04298660511
74	0.0429648202
75	0.042927493
76	0.04291760401
77	0.04287730012
78	0.04285943078
79	0.04284689628
80	0.04282921637
81	0.04280347094
82	0.04279387083
83	0.04277395572
84	0.04275026196
85	0.04272196168
86	0.04270507852
87	0.04269694818
88	0.04266845183
89	0.04264164218
90	0.04260993673
91	0.04259459974
92	0.04257260867
93	0.04256037013
94	0.04254209933
95	0.04252635722
96	0.04251206811
97	0.04248849189
98	0.04246671928
99	0.04245023678
100	0.04243985887
101	0.04242560261
102	0.04239809678
103	0.0423844761
104	0.04235698728
105	0.04234684558
106	0.04233154958
107	0.04231015899
108	0.04228891755
109	0.04227131446
110	0.04226020268
111	0.04224744618
112	0.04223867137
113	0.04222536069
114	0.04220422928
115	0.04219524912
116	0.04218396165
117	0.04216233137
118	0.04215532653
119	0.04214660218
120	0.04213563914
121	0.04212644946
122	0.0421078475
123	0.04209698014
124	0.04208631677
125	0.04207428943
126	0.04206374499
127	0.0420388914
128	0.04202610235
129	0.04201191484
130	0.04200093209
131	0.04199116726
132	0.04198017408
133	0.04197238009
134	0.04195658932
135	0.04194280898
136	0.04193038608
137	0.04191951227
138	0.04190862868
139	0.04189592611
140	0.04188505865
141	0.04187354283
142	0.0418593963
143	0.04185284807
144	0.04184001336
145	0.04182783815
146	0.04181369954
147	0.04180200329
148	0.04179294835
149	0.04178400646
150	0.04176559407
151	0.04175840324
152	0.04175242217
153	0.04174045332
154	0.04173353918
155	0.04172502195
156	0.04171650005
157	0.04170676464
158	0.04169941605
159	0.04168351548
160	0.04167606508
161	0.04167149991
162	0.04165978574
163	0.04165042308
164	0.04163871305
165	0.04162384427
166	0.04161313926
167	0.04160880441
168	0.04159748793
169	0.04159177917
170	0.04157661362
171	0.04156763056
172	0.04156041589
173	0.04154250829
174	0.04152043663
175	0.04150505568
176	0.04149893776
177	0.04148442026
178	0.04147581968
179	0.04146852314
180	0.04146220947
181	0.04145369655
182	0.04144007323
183	0.04143564666
184	0.04142242564
185	0.0414130354
186	0.04139933324
187	0.04139090892
188	0.04138352363
189	0.04137599653
190	0.04136678129
191	0.04135981249
192	0.04135413411
193	0.04134675106
194	0.04133283151
195	0.04131231441
196	0.04130435253
197	0.04129390594
198	0.04129011809
199	0.04128018902
