Fecha,value,rolling_mean,rolling_variance
2026-03-18 12:54:03,0.574,0.574,
2026-03-19 13:09:00,0.675,0.6245,0.0051005000000000035
2026-03-23 12:40:00,0.728,0.6589999999999999,0.006120999999999996
2026-03-24 13:01:56,0.669,0.6906666666666667,0.0010543333333333216
2026-03-25 12:01:45,0.765,0.7206666666666667,0.0023443333333333298
2026-03-26 12:09:38,0.456,0.63,0.025010999999999967
2026-03-27 12:51:34,0.469,0.5633333333333334,0.030544333333333278
2026-03-30 12:39:11,0.694,0.5396666666666666,0.017906333333333267
2026-03-31 14:37:02,0.677,0.6133333333333334,0.015696333333333305
2026-04-01 14:27:25,0.85,0.7403333333333334,0.009092333333333355
2026-04-02 13:44:19,0.814,0.7803333333333334,0.008332333333333365
2026-04-06 14:57:18,0.68,0.7813333333333333,0.008025333333333365
2026-04-07 14:58:47,0.739,0.7443333333333332,0.0045103333333333575
2026-04-08 14:28:43,0.665,0.6946666666666667,0.0015303333333333592
2026-04-09 16:17:04,0.637,0.6803333333333333,0.0027773333333333595
2026-04-10 15:05:25,0.657,0.653,0.0002080000000000282
2026-04-13 15:24:05,0.558,0.6173333333333334,0.002740333333333361
