Fecha,value,rolling_mean,rolling_variance
2026-03-18 13:00:37,0.525,0.525,
2026-03-19 13:10:00,0.568,0.5465,0.0009244999999999968
2026-03-23 12:42:00,0.529,0.5406666666666666,0.000564333333333331
2026-03-24 13:08:33,0.471,0.5226666666666667,0.0023823333333333314
2026-03-25 12:05:21,0.609,0.5363333333333333,0.004801333333333332
2026-03-26 12:20:42,0.579,0.553,0.005267999999999996
2026-03-27 12:58:48,0.687,0.625,0.003107999999999983
2026-03-30 12:42:53,0.665,0.6436666666666667,0.003257333333333309
2026-03-31 14:40:06,0.748,0.7000000000000001,0.001848999999999943
2026-04-01 14:31:50,0.752,0.7216666666666667,0.0024123333333332673
2026-04-02 13:52:12,0.734,0.7446666666666667,8.933333333326093e-05
2026-04-06 15:01:13,0.545,0.677,0.013148999999999952
2026-04-07 15:03:08,0.435,0.5713333333333334,0.022870333333333326
